Trait,Goal,Flaw
active,dominion,belittling
adventurous,enlightenment,arrogant
afraid,survival,narcissistic
angry,wealth,workaholic
artistic,health,materialistic
bold,leading,humorous
bossy,authority,controlling
brave,philanthropy,racist
brilliant,acceptance,easily-angered
busy,acknowledgement,impulsive
determined,proficiency,competitive
dishonest,caring,complainer
disrespectful,legacy,harasser
dull,vigilantism,unsupportive
energetic,pain,pathological-liar
fair,self-acceptance,inconsiderate
friendly,control,critical
fun,coping,adulterous
funny,atonement,vindictive
generous,discovery,greedy
lazy,independence,self-righteous
logical,self-discovery,bully
lonely,altruism,impetuous
loud,escape,negligent
loving,love,offensive
loyal,companionship,threatening
lucky,purpose,deceptive
mature,fitting in,sycophant
mean,change,inhumane
mischievous,prosletizing,paranoid
proud,self-control,exploiter
quiet,self-forgiveness,hypocrite
respectful,revenge,renege
responsible,parenthood,gullible
rude,material-preservation,flake
sad,trust,unethical
selfish,pride,reckless
sensitive,destruction,suspicious
serious,glory,unforgiving
shy,shelter,irrational
calm,courage,slacker
careful,profiteering,indomitable
caring,protecion,addict
cautious,chaos,explosie
charming,providing,disrespectful
cheerful,security,squander
clumsy,petiness,possessive
confident,passion,dolt
confused,justice,immoral
cooperative,knowledge,pretentious
gentle,mastery,passive-aggressive
gloomy,repayment,pessimist
greedy,rescue,nagging
happy,reputation,sadistic
helpful,death,prideful
honest,service,rebellious
hopeful,novelty,disloyal
humble,victory,unfriendly
humorous,education,perfectionist
hyper,fortune,argumentative
mysterious,travel,childish
nervous,self-improvement,manipulative
nice,fame,stubborn
noisy,artistry,tease
nosy,entreprenuership,storyteller
obnoxious,repair,spender
optimistic,festivity,smoker
organized,achievement,vain
outgoing,duty,cusser
patient,immortality,tenacious
silly,faith,drunkard
smart,tradition,thoutless
sneaky,charity,nosy
spoiled,aspiration,dimwit
successful,independence,directionally-challenged
sweet,fairness,indecisive
talented,honor,sweet-tooth
talkative,freedom,attached
thoughtful,redemption,steadfast
timid,beauty,anxious
creative,might,clumsy
cruel,sincerity,superstitious
curious,destiny,abusive
daring,community,bashful
demanding,logic,compulsive
imaginative,responsibility,covetous
immature,nature,coward
impatient,nation,fanatical
intelligent,retribution,envious
jealous,people,gluttony
peaceful,might,forgetful
persuasive,greater good,lewd
playful,mastery,naive
polite,no limits,paranoid
popular,noble obligation,perfectionest
tolerant,live and let live,predictable
trustworthy,craft,remorseless
unkind,envy,rude
wild,creativity,shallow
wise,tradition,spoiled